id,Date,Longitude,Latitude,Route,Operator,Type,Registration,Aboard,Fatalities,weather,terrain,sabotage,unknown,mechanical,human,pilot,flt_src,flt_dest,src_lon,src_lat,dest_lon,dest_lat
57,9/06/1921,2.3488,48.85341,Varsovie - Strasbourg - Paris,Franco-Roumaine,Potez IX,F-ADCD,5,5,0,0,0,1,0,0,0,Varsovie,Paris,21.006727,52.231924,2.351499,48.85661
81,12/23/1923,20,35,Toulon - Algiers,Military - French Navy,Zeppelin Dixmunde (airship),L-72,52,52,1,0,0,0,0,0,0,Toulon,Algiers,5.930492,43.125731,3.060065,36.775348
84,04/24/1924,-1,50,"Lympne, England - Rotterdam, The Netherlands",KLM Royal Dutch Airlines,Fokker F.III,H-NABS,3,3,0,0,0,1,0,0,0,"Lympne, England","Rotterdam, The Netherlands",1.027252,51.075782,4.488623,51.927798
97,9/03/1925,-81.483049,39.744446,"Lakehurst, NJ - S.t Louis, MO",Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),ZR-1,43,14,1,0,0,0,0,0,0,"Lakehurst, NJ","S.t Louis, MO",-74.311257,40.014561,-100.445882,39.78373
103,7/03/1926,14.46672,50.08292,Paris - Prague,Compagnie Internationale de Navigation Aérienne,Caudron C-61,F-AFBT,7,7,0,0,0,1,0,0,0,Paris,Prague,2.351499,48.85661,14.421254,50.087465
107,09/26/1926,-74.005973,40.714269,New York - Paris,,Sikorsky S-25,,5,2,0,0,0,0,0,1,0,New York,Paris,-73.986614,40.730646,2.351499,48.85661
120,08/22/1927,0.1914386,51.2719654,Croydon - Schiphol,KLM Royal Dutch Airlines,Fokker F-VIII,,11,1,0,0,0,0,1,0,0,Croydon,Schiphol,-0.101957,51.371305,4.73976,52.325478
124,09/23/1927,11.81024,50.57866,Berlin - Munich,Deutsche Lufthansa,Dornier Merkur,D-585,6,6,0,0,0,0,1,0,0,Berlin,Munich,13.38886,52.517037,11.575382,48.137108
133,1/08/1928,-74.005973,40.714269,Minola - Albany - Buffalo,Colonial Western Airlines,Fairchild FC-2,,3,3,1,0,0,0,0,0,0,Minola,Buffalo,-93.273774,44.963693,-78.878392,42.886717
147,06/22/1928,-95.85304,38.41668,Chicago - Dallas,National Air Transport,Douglas M-4,,1,1,1,0,0,0,0,0,0,Chicago,Dallas,-87.624421,41.875555,-96.796856,32.776272
151,08/25/1928,-122.91932,49.13296,Victoria - Seattle,British Columbia Airways,Ford 4-AT-B Tri Motor,G-CATX,7,7,1,0,0,0,0,0,0,Victoria,Seattle,144.678005,-36.59861,-122.330062,47.603832
160,11/24/1928,-84.74801,41.44866,Cleveland - Chicago,Universal Airlines,Hamilton H-47,,3,3,1,0,0,0,0,0,0,Cleveland,Chicago,-81.693445,41.505161,-87.624421,41.875555
162,11/25/1928,-84.74801,41.44866,Cleveland - Louisville,Continental Air Lines,Travel Air 4000,,3,3,1,0,0,0,0,0,0,Cleveland,Louisville,-81.693445,41.505161,-85.759407,38.254238
163,12/01/1928,-100.85569,33.47648,San Antonio - Amarillo - Tulsa - Denver,Sunbeam Air Transport Co.,Ford 4-AT-B Tri Motor,NC7862,5,5,1,0,0,0,0,0,0,San Antonio,Denver,-98.49514,29.4246,-104.984703,39.739154
167,12/20/1928,-82.538619,41.375658,Cleveland - Chicago,National Air Transport,Douglas M-4,,1,1,1,0,0,0,0,0,0,Cleveland,Chicago,-81.693445,41.505161,-87.624421,41.875555
176,03/30/1929,-116.954753,33.92703,Los Angeles - Phoenix - El Paso,New Standard Airlines,Fokker F-VIIA,NC7888,4,4,1,0,0,0,0,0,0,Los Angeles,El Paso,-118.244476,34.054935,-106.501349,31.811131
177,04/21/1929,-117.170912,32.724103,San Diego - Phoenix,Maddux Airlines / Military - U.S.Army Air Force,Ford 5-AT-B Tri-Motor / B-PW-9D,NC9636 / 28-037,6,6,0,0,0,0,0,0,1,San Diego,Phoenix,-117.162771,32.717421,-112.077346,33.448587
180,6/10/1929,-75.82194,20.02472,Santiago de Cuba - Havana,Pan American Airways,Fokker F-X,NC9700,5,2,0,1,0,0,0,0,0,Santiago de Cuba,Havana,-75.828995,20.028893,-82.365867,23.138028
183,06/24/1929,-92.612251,46.86163,St. Paul - Minneapolis,Northwest Orient Airlines,Ford 5-AT-B Tri-Motor,NC7416,8,1,0,0,0,0,1,0,0,St. Paul,Minneapolis,-93.101503,44.950404,-93.265469,44.9773
191,9/03/1929,-103.231849,34.431444,Albuquerque - Los Angeles,Trans Continental Air Transport,Ford 5-AT-B Tri Motor,NC9649,8,8,1,0,0,0,0,0,0,Albuquerque,Los Angeles,-106.650985,35.084103,-118.244476,34.054935
192,9/06/1929,57.77552,25.64534,"London, England - India",Imperial Airways,de Havilland DH-66 Hercules,G-EBMZ,5,3,0,0,0,1,0,0,0,"London, England",India,-0.127647,51.507322,78.667743,22.351115
194,09/17/1929,-116.18974,32.61756,Tijuana - Nogales,Pickwick Airways,Fairchild 71,,2,1,1,0,0,0,0,0,0,Tijuana,Nogales,-116.964166,32.500863,-97.201728,18.834628
197,10/29/1929,-81.417897,39.847294,Cleveland - Louisville,Continental Air Lines,Stearman C-38,,1,1,0,0,0,0,0,0,0,Cleveland,Louisville,-81.693445,41.505161,-85.759407,38.254238
199,11/04/1929,-97.28887,20.40378,Mexico City - Juarez,Corp. Aeronautica de Transportes,Lockheed Vega 5,NC46M,4,4,1,0,0,0,0,0,0,Mexico City,Juarez,-99.133342,19.432601,-103.735771,19.221262
200,11/06/1929,-0.3756192,51.2316107,Amsterdam - Croyden,Deutsche Lufthansa,Junkers G-24,D-903,8,7,1,0,0,0,0,0,0,Amsterdam,Croyden,4.897976,52.37454,-100.445882,39.78373
209,01/19/1930,-116.846046,33.016928,"Aqua Caliente, Mexico - Los Angeles",Maddux Airlines,Ford 5-AT-C Tri Motor,NC9689,16,16,1,1,0,0,0,0,1,"Aqua Caliente, Mexico",Los Angeles,-100.445882,39.78373,-118.244476,34.054935
211,01/27/1930,-94.630384,39.103053,"Wichita - Kansas City, KS",Central  Airlines,Travel Air A6000A,,5,5,0,0,0,0,0,0,0,Wichita,"Kansas City, KS",-97.337545,37.692236,-94.749525,39.11468
212,2/03/1930,-72.763564,41.78516,"Newark, NJ - Hartford, CT",Colonial Air Transport,Pitcairn PA-6 Mailwing,,1,1,0,0,0,0,0,0,0,"Newark, NJ","Hartford, CT",-74.172367,40.735657,-72.690867,41.764549
214,04/18/1930,-74.075485,40.73276,"Albany, NY - Jersey City, NJ",Canadian Colonial Airways,Fairchild 71,,4,4,1,0,0,0,0,0,0,"Albany, NY","Jersey City, NJ",-73.754968,42.651167,-74.077642,40.728158
217,7/07/1930,14.91394,55.12551,Stettin - Norway,Deutsche Lufthansa,Dornier Wal,D-864,8,5,0,0,0,0,0,0,0,Stettin,Norway,14.550962,53.430182,9.099972,60.500021
219,08/22/1930,15.59124,49.3961,Prague - Brun -  Pressburg,Ceskoslovenske Aerolinie,Ford 5-AT-C Tri Motor,OK-FOR,11,10,1,0,0,0,0,0,0,Prague,Pressburg,14.421254,50.087465,17.159744,48.135909
221,09/25/1930,-106.00099,54.0001,Calgary - Moosejaw,Western Canada Airways,,,3,3,1,0,0,0,0,0,0,Calgary,Moosejaw,-114.062589,51.053423,-87.664246,41.921129
222,10/05/1930,2.08333,49.43333,"Cardington, England - Karachi, Pakistan",Military - British Air Ministry,Royal Airship Works R-101,G-FAAW,54,48,0,0,0,0,0,0,0,"Cardington, England","Karachi, Pakistan",-0.413787,52.117943,67.031129,24.86678
223,10/06/1930,13.75,51.05,Berlin - Vienna,Deutsche Lufthansa,Messerschmitt M-20B,D-1930,8,8,0,0,0,0,0,0,0,Berlin,Vienna,13.38886,52.517037,16.372504,48.208354
224,10/12/1930,-5,32,Casablanca - Bahat - Toulouse,Aeropostale,Latecoere 28,F-AJUU,4,4,0,0,0,0,0,0,0,Casablanca,Toulouse,-7.618777,33.595063,1.444247,43.604462
226,10/30/1930,1.43956,49.73316,"Paris, France - London, England",Imperial Airways,Handley Page W-8,G-EBIX,6,3,1,0,0,0,0,0,0,"Paris, France","London, England",2.351499,48.85661,-0.127647,51.507322
229,11/18/1930,-117.336559,33.553623,"Burbank, CA - Oakland, CA",PacifiAir Transport,Boeing 40,NC5340,3,3,0,0,0,0,0,0,0,"Burbank, CA","Oakland, CA",-118.325855,34.181648,-80.331071,43.031749
230,12/09/1930,121.45806,31.22222,Shanghai - Hankow,China National Aviation Corporation,Loening C-W Air Yaht,,6,4,0,0,0,0,0,0,0,Shanghai,Hankow,121.488892,31.225344,114.171112,22.297016
232,01/22/1931,-122.208006,47.609257,Portland - Pasco,Varney Air Lines,Boeing 40,NC741K,1,1,1,0,0,0,0,0,0,Portland,Pasco,-122.674195,45.520247,-119.100566,46.239579
234,02/20/1931,-98.63076,49.96922,Winnigeg - Moosejaw,Western Canada Airways,Fokker Universal F-14,,3,2,1,0,0,0,0,0,0,Winnigeg,Moosejaw,-100.445882,39.78373,-87.664246,41.921129
237,03/31/1931,-96.53529,38.27196,Kansas City - Wichita -  Los Angeles,Trans Continental and Western Air,Fokker F10A Trimotor,NC-999,8,8,0,0,0,0,0,0,0,Kansas City,Los Angeles,-94.578142,39.100105,-118.244476,34.054935
239,5/05/1931,-121.931623,37.323275,San Diego - Los Angeles,PacifiAir Transport,Boeing 40,NC5390,2,2,1,0,0,0,0,0,0,San Diego,Los Angeles,-117.162771,32.717421,-118.244476,34.054935
242,6/07/1931,94.36563,18.46537,Saigon - Karachi,Air Orient,Fokker F-VIIB,PH-AEO,4,4,0,0,0,0,0,0,0,Saigon,Karachi,109.408192,-0.085896,67.031129,24.86678
